------------------------------------------------------------------------------------------------------------------------------------------
|                                                            DescribeInstances                                                           |
+---------------------+------------------+------------------------+----------------------------------------------------------------------+
|     InstanceId      |     Project      |          ami           |                                name                                  |
+---------------------+------------------+------------------------+----------------------------------------------------------------------+
|  i-f69c987e         |  dcproxy         |  ami-bff32ccc          |  dcproxy-secondary-reports                                           |
|  i-a606042e         |  dcproxy         |  ami-bff32ccc          |  dcproxy-secondary-das                                               |
|  i-0a0d0f82         |  dcproxy         |  ami-bff32ccc          |  dcproxy-secondary-dasbs                                             |
|  i-7ba881f6         |  MMD             |  ami-7943ec0a          |  MMD.dev.ActiveDirectory                                             |
|  i-7e2d2ef3         |  SSO             |  ami-3367d340          |  SSO.TestingClientForUATandPROD                                      |
|  i-7b0367f7         |  dcproxy         |  ami-bff32ccc          |  dcproxy-primary-reports                                             |
|  i-dc036750         |  dcproxy         |  ami-bff32ccc          |  dcproxy-bastion                                                     |
|  i-3de083b1         |  dcproxy         |  ami-bff32ccc          |  dcproxy-primary-das                                                 |
|  i-5de88bd1         |  dcproxy         |  ami-bff32ccc          |  dcproxy-primary-dasbs                                               |
|  i-da8fe756         |  iTropics        |  ami-29eb7e5a          |  iTropics CI Web                                                     |
|  i-a88ee624         |  iTropics        |  ami-29eb7e5a          |  iTropics CI Bastion                                                 |
|  i-06e121b565b9e5923|  dcproxy         |  ami-bff32ccc          |  dcproxy-secondary-restapi                                           |
|  i-0992669ef2b767575|  dcproxy         |  ami-bff32ccc          |  dcproxy-secondary-tropics                                           |
|  i-0f717bd91f3132177|  dcproxy         |  ami-bff32ccc          |  dcproxy-secondary-tropicsbs                                         |
|  i-05a925571a26edf1f|  iTropics        |  ami-a8592cdb          |  iTropics for PaymentService ZoneB Web                               |
|  i-077ada71d665bafa4|  dcproxy         |  ami-bff32ccc          |  dcproxy-secondary-tour-api                                          |
|  i-01e31e52804b01f62|  dcproxy         |  ami-70edb016          |  dcproxy-secondary-travelagents-api                                  |
|  i-0675ce7a0bcd24c8f|  dcproxy         |  ami-bff32ccc          |  dcproxy-primary-restapi                                             |
|  i-0611094840cea42d1|  Sonar           |  ami-e1398992          |  Sonar.dev.BastionServer.dev                                         |
|  i-0edbb71e5e62e70c7|  iTropics        |  ami-29eb7e5a          |  iTropics Booking Services Bastion                                   |
|  i-092b7bcc9d4caba11|  iTropics        |  ami-29eb7e5a          |  iTropics Booking Services ZoneA Web                                 |
|  i-091bd98e5a6515ba1|  dcproxy         |  ami-bff32ccc          |  dcproxy-primary-tropics                                             |
|  i-073d3fcd527ec4411|  dcproxy         |  ami-bff32ccc          |  dcproxy-primary-tropicsbs                                           |
|  i-0dfdeb4d5670a2951|  dcproxy         |  ami-bff32ccc          |  dcproxy-primary-ldaps                                               |
|  i-0c6f5e7de17bff1a6|  iTropics        |  ami-a8592cdb          |  iTropics for PaymentService Bastion                                 |
|  i-0d107d84306e62413|  iTropics        |  ami-a8592cdb          |  iTropics for PaymentService ZoneA Web                               |
|  i-0d3a194944e4838b1|  dcproxy         |  ami-bff32ccc          |  dcproxy-primary-tour-api                                            |
|  i-061ed2817259efc92|  SSO             |  ami-c51e3eb6          |  SSO.dev.FakeTravelAgentsAPI                                         |
|  i-04bb301c8ad07aa02|  dcproxy         |  ami-70edb016          |  dcproxy-primary-travelagents-api                                    |
|  i-020f7d7383da8bb31|  SSO             |  ami-d3dee9b5          |  SSO.dev.DQHMigration                                                |
|  i-0ea91945ba8edcc6c|  None            |  ami-785db401          |  BookingServicesBastion                                              |
|  i-09b052dc177f4fac9|  None            |  ami-785db401          |  BookingServicesBastion.App                                          |
|  i-09e4763bb7e6ff8d1|  Whitelabel      |  ami-087f8793c71c8c662 |  WhiteLabel-Frontend-Instance-Green                                  |
|  i-096740692ec092900|  Whitelabel      |  ami-03e696d2cdcbf5a2c |  WhiteLabel-Frontend-Instance-Blue                                   |
|  i-0ff31ba2ff5b17ccb|  BookingServices |  ami-95f8d2f3          |  BookingServices.Cluster                                             |
|  i-018cf02bb9a3ff48f|  ContentOne      |  ami-0e7fe1d1e90e8d2f1 |  ContentOne-Courier-CMS                                              |
